REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2025-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data upto : 30th  Sep 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State CD,State,Financial Year (up to the Month - Sep 2025),,,,,Apr-25,,,,,May-25,,,,,Jun-25,,,,,Jul-25,,,,,Aug-25,,,,,Sep-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,CGST,SGST,IGST,CESS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Tamil Nadu," 18,847 "," 24,362 "," 22,866 "," 4,427 "," 70,502 "," 3,815 "," 4,848 "," 4,332 ", 835 ," 13,831 "," 2,983 "," 3,910 "," 4,689 ", 648 ," 12,230 "," 2,886 "," 3,728 "," 3,349 ", 713 ," 10,676 "," 2,987 "," 3,820 "," 3,730 ", 759 ," 11,296 "," 3,105 "," 4,038 "," 3,186 ", 728 ," 11,057 "," 3,070 "," 4,018 "," 3,581 ", 743 ," 11,413 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Puducherry, 198 , 291 ," 1,020 ", 4 ," 1,512 ", 38 , 57 , 171 , 0 , 266 , 30 , 45 , 199 , 1 , 275 , 31 , 48 , 161 , 1 , 241 , 33 , 47 , 165 , 1 , 245 , 31 , 47 , 147 , 0 , 225 , 35 , 48 , 177 , 0 , 260 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Andaman and Nicobar Islands, 92 , 115 , 79 , 1 , 287 , 24 , 30 , 24 , 0 , 78 , 15 , 19 , 20 , 0 , 53 , 13 , 15 , 4 , 0 , 32 , 17 , 21 , 14 , 0 , 52 , 12 , 15 , 9 , 0 , 37 , 12 , 15 , 8 , 0 , 35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Telangana," 8,542 "," 10,859 "," 10,269 "," 3,253 "," 32,922 "," 1,776 "," 2,230 "," 2,370 ", 607 ," 6,983 "," 1,363 "," 1,715 "," 1,672 ", 560 ," 5,310 "," 1,336 "," 1,708 "," 1,505 ", 563 ," 5,111 "," 1,404 "," 1,824 "," 1,643 ", 546 ," 5,417 "," 1,336 "," 1,689 "," 1,588 ", 491 ," 5,103 "," 1,327 "," 1,693 "," 1,492 ", 485 ," 4,998 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Andhra Pradesh," 6,060 "," 7,802 "," 8,183 "," 1,525 "," 23,570 "," 1,254 "," 1,611 "," 1,579 ", 243 ," 4,686 ", 941 ," 1,190 "," 1,465 ", 208 ," 3,803 ", 924 ," 1,225 "," 1,229 ", 256 ," 3,634 ", 958 ," 1,226 "," 1,348 ", 271 ," 3,803 "," 1,049 "," 1,364 "," 1,297 ", 279 ," 3,989 ", 935 ," 1,184 "," 1,265 ", 268 ," 3,653 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ladakh, 94 , 126 , 29 , 0 , 249 , 30 , 37 , 5 , 0 , 72 , 9 , 11 , 9 , 0 , 29 , 11 , 14 , 3 , 0 , 28 , 16 , 22 , 4 , -   , 42 , 13 , 18 , 4 , -   , 35 , 16 , 23 , 5 , 0 , 44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Other Territory, 126 , 168 ," 1,026 ", -   ," 1,319 ", 20 , 24 , 218 , -   , 261 , 23 , 27 , 163 , -   , 212 , 30 , 41 , 157 , -   , 228 , 22 , 33 , 157 , -   , 212 , 17 , 24 , 158 , -   , 200 , 14 , 19 , 173 , -   , 206 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,OIDAR, -   , -   ," 2,039 ", -   ," 2,039 ", -   , -   , 300 , -   , 300 , -   , -   , 324 , -   , 324 , -   , -   , 317 , -   , 317 , -   , -   , 311 , -   , 311 , -   , -   , 396 , -   , 396 , -   , -   , 392 , -   , 392 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestic GST Collection- All India,," 2,21,817 "," 2,75,291 "," 3,27,354 "," 70,542 "," 8,95,003 "," 48,634 "," 59,372 "," 69,504 "," 12,293 "," 1,89,803 "," 35,434 "," 43,902 "," 58,767 "," 11,683 "," 1,49,785 "," 34,558 "," 43,268 "," 48,680 "," 12,400 "," 1,38,906 "," 35,470 "," 44,059 "," 51,910 "," 11,584 "," 1,43,023 "," 34,076 "," 42,854 "," 48,639 "," 11,392 "," 1,36,962 "," 33,646 "," 41,836 "," 49,853 "," 11,190 "," 1,36,525 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGST and CESS on Import - All India,, -   , -   ," 2,92,626 "," 5,801 "," 2,98,427 ", -   , -   ," 45,754 "," 1,159 "," 46,913 ", -   , -   ," 50,070 "," 1,196 "," 51,266 ", -   , -   ," 44,600 "," 1,091 "," 45,690 ", -   , -   ," 51,626 "," 1,086 "," 52,712 ", -   , -   ," 48,546 ", 807 ," 49,354 ", -   , -   ," 52,031 ", 462 ," 52,492 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Revenue,," 2,21,817 "," 2,75,291 "," 6,19,980 "," 76,343 "," 11,93,430 "," 48,634 "," 59,372 "," 1,15,258 "," 13,452 "," 2,36,716 "," 35,434 "," 43,902 "," 1,08,836 "," 12,879 "," 2,01,050 "," 34,558 "," 43,268 "," 93,280 "," 13,491 "," 1,84,597 "," 35,470 "," 44,059 "," 1,03,536 "," 12,670 "," 1,95,735 "," 34,076 "," 42,854 "," 97,186 "," 12,199 "," 1,86,315 "," 33,646 "," 41,836 "," 1,01,883 "," 11,652 "," 1,89,017 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Note :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The above numbers are provisional and the actual numbers may slightly vary on finalisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
