year,quarter,end_price,start_price,trading_days,quarterly_return_pct,company
2017,3,273.4536437988281,285.0693359375,63,,Marico
2017,4,285.3915405273437,271.1217041015625,62,4.3656,Marico
2018,1,290.8793029785156,283.7987365722656,60,1.9229,Marico
2018,2,295.87518310546875,292.9311828613281,64,1.7175,Marico
2018,3,297.1241455078125,297.525634765625,61,0.4221,Marico
2018,4,335.0901184082031,297.30255126953125,61,12.7778,Marico
2019,1,305.2800598144531,334.10302734375,60,-8.8961,Marico
2019,2,335.0755615234375,314.6843566894531,60,9.7601,Marico
2019,3,356.5066223144531,334.8043212890625,62,6.3959,Marico
2019,4,311.2076110839844,350.67413330078125,61,-12.7064,Marico
2020,1,253.7657928466797,314.9883728027344,63,-18.4577,Marico
2020,2,324.9051208496094,245.13302612304688,59,28.0335,Marico
2020,3,335.15362548828125,324.35113525390625,66,3.1543,Marico
2020,4,374.7893981933594,334.13800048828125,63,11.8262,Marico
2021,1,387.18255615234375,378.0007019042969,61,3.3067,Marico
2021,2,499.6754760742188,383.37005615234375,61,29.0542,Marico
2021,3,515.3961791992188,503.5350036621094,63,3.1462,Marico
2021,4,485.1990051269531,517.3259887695312,63,-5.859,Marico
2022,1,482.7469177246094,486.5713195800781,61,-0.5054,Marico
2022,2,458.0201721191406,496.6916809082031,62,-5.1221,Marico
2022,3,515.4762573242188,470.7669067382813,63,12.5444,Marico
2022,4,488.6410827636719,507.4736633300781,62,-5.2059,Marico
2023,1,464.00927734375,485.1908264160156,62,-5.0409,Marico
2023,2,513.4758911132812,463.91259765625,60,10.6607,Marico
2023,3,543.16552734375,515.7001342773438,63,5.7821,Marico
2023,4,533.4451293945312,556.7531127929688,60,-1.7896,Marico
2024,1,489.6921081542969,527.36669921875,60,-8.202,Marico
2024,2,603.7434692382812,488.3132019042969,60,23.2904,Marico
2024,3,684.8992309570312,611.1301879882812,64,13.4421,Marico
2024,4,632.5025634765625,683.1755981445312,61,-7.6503,Marico
2017,3,323.699951171875,301.5781555175781,63,,Nestle
2017,4,354.5304870605469,327.8737487792969,62,9.5244,Nestle
2018,1,369.5140075683594,354.1836242675781,60,4.2263,Nestle
2018,2,443.8736267089844,374.2616271972656,64,20.1236,Nestle
2018,3,439.6842346191406,441.8397521972656,61,-0.9438,Nestle
2018,4,504.848876953125,435.6045227050781,61,14.8208,Nestle
2019,1,504.313720703125,501.6698303222656,60,-0.106,Nestle
2019,2,544.982421875,497.1199951171875,60,8.0642,Nestle
2019,3,646.5137329101562,542.976318359375,62,18.6302,Nestle
2019,4,690.8751220703125,636.827392578125,61,6.8616,Nestle
2020,1,761.6782836914062,690.5809326171875,63,10.2483,Nestle
2020,2,805.482177734375,731.4902954101562,59,5.751,Nestle
2020,3,746.585205078125,787.86669921875,66,-7.312,Nestle
2020,4,869.3590087890625,750.4240112304688,63,16.4447,Nestle
2021,1,811.4473876953125,872.2166137695312,61,-6.6614,Nestle
2021,2,838.096435546875,807.5686645507812,61,3.2841,Nestle
2021,3,924.2469482421876,838.7238159179688,63,10.2793,Nestle
2021,4,942.1549072265624,929.2090454101562,63,1.9376,Nestle
2022,1,830.9865112304688,940.8281860351562,61,-11.7994,Nestle
2022,2,839.3902587890625,839.432373046875,62,1.0113,Nestle
2022,3,919.8601684570312,855.0079345703125,63,9.5867,Nestle
2022,4,947.626220703125,912.5474853515624,62,3.0185,Nestle
2023,1,952.3870849609376,945.4778442382812,62,0.5024,Nestle
2023,2,1112.1019287109375,952.4329833984376,60,16.77,Nestle
2023,3,1093.28369140625,1099.3870849609375,63,-1.6921,Nestle
2023,4,1298.6533203125,1083.9742431640625,60,18.7847,Nestle
2024,1,1284.8372802734375,1337.3533935546875,60,-1.0639,Nestle
2024,2,1250.1971435546875,1266.831298828125,60,-2.6961,Nestle
2024,3,1323.674560546875,1258.257080078125,64,5.8773,Nestle
2024,4,1062.8466796875,1332.089111328125,61,-19.7048,Nestle
