Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2017-11-13,180.84483337402344,184.34550689939792,180.63478941221214,184.13546293758665,7681031
2017-11-14,179.61962890625,182.63020781173782,179.2345556342449,180.9848927232334,8656529
2017-11-15,177.3441619873047,180.17971112734173,175.31377398081892,179.9346635338243,17666898
2017-11-16,178.60440063476562,178.95447020467446,176.71403827084075,178.3243494166995,10343428
2017-11-17,180.63479614257812,181.3349353116009,179.23452889918556,179.58459848369694,10383570
2017-11-20,181.47500610351562,182.52520402383686,180.10974215030458,181.05492915431827,8221147
2017-11-21,179.09451293945312,181.68501469091004,178.67443607218453,181.68501469091004,17266541
2017-11-22,180.7398223876953,181.08989198045836,178.95448188765306,179.23453312400218,8941555
2017-11-23,180.7398223876953,182.5251628877376,179.51458436035134,180.8798480058699,7814131
2017-11-24,182.5601806640625,183.05027588319015,180.66981814513585,180.98487301763026,7630740
2017-11-27,181.5099639892578,182.38513240047462,180.14470038018732,182.0350628170573,5022804
2017-11-28,179.93466186523438,181.47495467040167,179.23452272034785,181.404936318052,18183221
2017-11-29,180.6697998046875,181.12488025149958,179.93465705062303,180.63478508212327,9032800
2017-11-30,179.26956176757812,180.77485124129768,178.28937120894125,180.56481833205746,22967997
2017-12-01,178.6744384765625,181.75502440062735,178.2893541414007,179.89966546291353,6847473
2017-12-04,178.60440063476562,179.44456538361638,177.5191882964439,179.23452142274056,6347174
2017-12-05,177.72923278808594,178.7794304062963,176.78404605597456,178.53438281609354,9337698
2017-12-06,176.1539306640625,177.30916139307706,175.62883183886655,177.30916139307706,8562019
2017-12-07,177.379150390625,177.90424916175965,175.03369663895165,175.03369663895165,5635445
2017-12-08,183.57534790039062,184.275475900625,177.41415493041742,177.65920250416238,13638732
2017-12-11,186.41094970703125,187.2861182766482,184.34554655730088,185.29073349413537,17842707
2017-12-12,183.1202850341797,185.67578314521563,182.38514219790852,185.18568792103488,9599026
2017-12-13,181.33494567871094,183.7154034569675,180.35475522390172,181.75502254734906,8986735
2017-12-14,185.0106201171875,186.34089106501403,180.3197236464223,182.66517742913084,8353203
2017-12-15,185.25567626953125,186.97100937902334,184.45052625181592,186.23587771246483,12742052
2017-12-18,184.27548217773438,185.8857932751043,181.36992591482112,185.8857932751043,9650962
2017-12-19,185.0106201171875,185.8157811922794,184.2054701367475,184.41551408584135,6107682
2017-12-20,184.34552001953125,185.32571045154208,183.92544316066375,185.32571045154208,7728106
2017-12-21,184.17047119140625,186.16584437990934,183.15526614141578,186.16584437990934,7032195
2017-12-22,184.2055206298828,184.97566719479838,183.5403960683021,184.48557190900576,6652053
2017-12-26,184.94064331054688,185.53576053451854,183.89043448683444,184.31052245418087,9917650
2017-12-27,183.54039001464844,185.0456794586044,183.19032037996354,184.97566109380563,6325599
2017-12-28,183.330322265625,184.8706151451179,182.77020870375742,184.41553466416943,16501935
2017-12-29,184.3105010986328,184.83559990232044,183.61036196394772,183.7853912002928,6818477
2018-01-01,183.64537048339844,186.44590490742195,182.91022770079542,184.31050600745985,10863895
2018-01-02,182.5601806640625,184.97564203358206,182.35013668596395,183.8554259748122,5907460
2018-01-03,182.84022521972656,183.89042288251304,182.455152003728,182.9452472049358,11443370
2018-01-04,183.1202850341797,183.96044986058294,182.45516055621442,182.7002081683048,9729737
2018-01-05,184.06546020507812,184.48553704437515,183.36532104493025,183.36532104493025,9566733
2018-01-08,185.95582580566406,186.79599059328646,184.31051095528275,184.83560978705188,14989106
2018-01-09,189.42149353027344,190.43667645653312,185.36070635197038,185.88580517731785,26728897
2018-01-10,188.61631774902344,191.83693990010875,188.37128126490475,191.4518667184194,17074502
2018-01-11,188.8963623046875,189.73653808192478,187.70612807980353,188.68631836037818,11722150
2018-01-12,187.32106018066406,189.98157990124554,186.34089206182233,189.21143354331738,8494789
2018-01-15,187.3561248779297,189.80660130193928,186.93603686543955,187.63617615648653,10944192
2018-01-16,183.22531127929688,188.12625254026412,182.5951904185247,187.77619402456585,13433905
2018-01-17,186.27088928222656,186.93601376025376,181.7200177368709,183.4353510216634,17006334
2018-01-18,191.41685485839844,192.7121111204013,186.69095463162185,187.63613023911628,27461089
2018-01-19,192.2220458984375,194.2874488570657,189.80658442007575,193.23725110855727,26700710
2018-01-22,191.59190368652344,192.887137741687,190.22664018782368,192.53707928122205,8660321
2018-01-23,193.65733337402344,194.11243611557427,191.52192296759318,191.8369889757492,18947034
2018-01-24,197.0529327392578,197.43802810541524,193.27220822397473,193.69229612210742,17971710
2018-01-25,196.91293334960938,198.27819693404717,195.05757457616042,196.73790410838512,13629982
2018-01-29,192.99220275878906,198.34823597208992,192.5371222208318,196.84295762921874,9938281
2018-01-30,192.6771240234375,193.55229250123017,190.40169929476104,192.53710949300287,13560150
