REVENUE COLLECTION STATE WISE MONTH WISE DURING FINANCIAL YEAR 2017-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Rs. In Crore),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Wise Domestic GST Collection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Cd,State, Financial Year 2017-18 ,,,,,Jul-17,,,,,Aug-17,,,,,Sep-17,,,,,Oct-17,,,,,Nov-17,,,,,Dec-17,,,,,Jan-18,,,,,Feb-18,,,,,Mar-18,,,,
,, CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL , CGST , SGST , IGST , CESS , TOTAL 
8,Rajasthan," 4,401 "," 6,313 "," 6,605 "," 1,144 "," 18,463 ", 1 , 1 , 2 , 0 , 5 , 522 , 806 ," 1,085 ", 127 ," 2,540 ", 519 , 774 , 833 , 158 ," 2,284 ", 531 , 809 , 760 , 157 ," 2,256 ", 538 , 765 , 739 , 141 ," 2,182 ", 546 , 746 , 723 , 132 ," 2,148 ", 599 , 859 , 781 , 155 ," 2,394 ", 565 , 764 , 836 , 143 ," 2,307 ", 579 , 790 , 845 , 132 ," 2,346 "
9,Uttar Pradesh," 7,240 "," 11,481 "," 10,556 "," 7,581 "," 36,858 ", 1 , 1 , 2 , 0 , 3 , 931 ," 1,570 "," 1,468 ", 758 ," 4,727 ", 934 ," 1,439 "," 1,381 "," 1,086 "," 4,840 ", 928 ," 1,477 "," 1,341 ", 931 ," 4,677 ", 838 ," 1,358 "," 1,197 ", 774 ," 4,168 ", 843 ," 1,318 "," 1,221 "," 1,007 "," 4,389 ", 927 ," 1,451 "," 1,340 ", 957 ," 4,674 ", 848 ," 1,352 "," 1,268 "," 1,129 "," 4,597 ", 990 ," 1,516 "," 1,339 ", 939 ," 4,783 "
10,Bihar," 1,184 "," 2,362 ", 691 ," 1,294 "," 5,531 ", 0 , 0 , 0 , 0 , 1 , 181 , 379 , 86 , 141 , 786 , 130 , 261 , 79 , 204 , 674 , 141 , 308 , 65 , 132 , 645 , 142 , 285 , 76 , 89 , 592 , 140 , 265 , 88 , 175 , 667 , 136 , 281 , 78 , 146 , 642 , 146 , 270 , 128 , 223 , 767 , 169 , 314 , 91 , 184 , 758 
11,Sikkim, 57 , 105 ," 1,022 ", 1 ," 1,186 ", 0 , 0 , 0 , -   , 0 , 5 , 25 , 130 , 0 , 160 , 4 , 7 , 145 , 0 , 156 , 10 , 13 , 117 , 0 , 140 , 10 , 14 , 122 , 0 , 146 , 7 , 10 , 147 , 0 , 164 , 7 , 11 , 134 , 0 , 152 , 6 , 9 , 109 , 0 , 123 , 9 , 16 , 120 , 0 , 145 
12,Arunachal Pradesh, 35 , 60 , 24 , 1 , 120 , 0 , 0 , 0 , -   , 0 , 3 , 6 , 3 , 0 , 13 , 3 , 4 , 3 , 0 , 9 , 4 , 6 , 2 , 0 , 13 , 3 , 5 , 3 , 0 , 11 , 3 , 6 , 2 , 0 , 12 , 5 , 9 , 3 , 0 , 16 , 4 , 7 , 2 , 0 , 13 , 10 , 18 , 5 , 0 , 32 
13,Nagaland, 26 , 43 , 33 , 2 , 104 , 0 , 0 , 0 , -   , 0 , 3 , 6 , 5 , 0 , 14 , 3 , 6 , 4 , 0 , 13 , 4 , 6 , 5 , 0 , 15 , 3 , 5 , 3 , 0 , 12 , 3 , 4 , 3 , 0 , 10 , 4 , 6 , 5 , 0 , 15 , 4 , 5 , 3 , 0 , 12 , 3 , 6 , 4 , 1 , 12 
14,Manipur, 38 , 76 , 8 , 1 , 122 , 0 , 0 , 0 , -   , 0 , 4 , 9 , 1 , 0 , 14 , 5 , 8 , 1 , 0 , 14 , 6 , 12 , 1 , 0 , 20 , 4 , 6 , 1 , 0 , 11 , 4 , 9 , 1 , 0 , 14 , 4 , 8 , 1 , 0 , 12 , 4 , 8 , 1 , 0 , 13 , 7 , 16 , 1 , 0 , 25 
15,Mizoram, 20 , 38 , 8 , 0 , 67 , 0 , 0 , 0 , -   , 0 , 2 , 4 , 0 , 0 , 6 , 2 , 4 , 1 , 0 , 8 , 4 , 6 , 1 , 0 , 10 , 3 , 5 , 1 , 0 , 8 , 2 , 4 , 1 , 0 , 7 , 2 , 4 , 2 , 0 , 8 , 2 , 5 , 1 , 0 , 8 , 3 , 7 , 1 , 0 , 11 
16,Tripura, 107 , 163 , 29 , 6 , 305 , 0 , 0 , 0 , -   , 0 , 11 , 19 , 3 , 4 , 37 , 11 , 19 , 3 , 0 , 34 , 24 , 31 , 3 , 0 , 57 , 13 , 19 , 3 , 0 , 35 , 10 , 17 , 3 , 0 , 30 , 11 , 17 , 4 , 0 , 32 , 11 , 19 , 4 , 0 , 34 , 15 , 23 , 7 , 0 , 45 
17,Meghalaya, 90 , 141 , 391 , 26 , 648 , 0 , 0 , 0 , -   , 0 , 12 , 21 , 38 , 7 , 77 , 8 , 14 , 40 , 0 , 63 , 11 , 17 , 38 , 0 , 65 , 12 , 16 , 33 , 0 , 61 , 9 , 15 , 46 , 0 , 70 , 13 , 21 , 52 , 5 , 90 , 13 , 18 , 75 , 9 , 115 , 12 , 19 , 69 , 5 , 105 
18,Assam," 1,182 "," 1,837 "," 1,632 ", 317 ," 4,969 ", 0 , 0 , 0 , 0 , 0 , 162 , 271 , 245 , 26 , 703 , 156 , 251 , 234 , 32 , 673 , 148 , 238 , 200 , 39 , 625 , 150 , 228 , 227 , 49 , 654 , 136 , 197 , 207 , 50 , 590 , 141 , 222 , 176 , 38 , 578 , 133 , 203 , 164 , 28 , 528 , 156 , 228 , 179 , 55 , 619 
